num,제품명,가격,할인율,판매자
1,미스터보울러 여행용 캐리어/여행가방/19900원부터 ,"29,900",69%,미스터보울러
2,(비버리힐즈폴로) 정품 남녀공용 백팩/기저귀가방 ,"36,900",-,폴로클럽백
3,컨텐더 원통형백 (가방) CGE-802 / 올 블랙만 가능 ,"9,870",6%,히든스포츠1
4,여행 보조가방 여행용가방 멀티백 허리가방 힙색 가방 ,"5,840",1%,베스트100스토어
5,탑킹 백팩 TKGMB-02 Backpack 가방 스포츠백 격투기 ,"140,580",1%,아이노스11
6,(현대백화점6관)키플링 토트백 N TOTE BAG N 에코백/보조가방 4종 택1 KIDZZ01 ,"33,150",15%,현대백화점
7,(현대Hmall) 타이틀리스트 스태프 백 TB7SF9-061 / Staff Bag ,"405,040",17%,현대Hmall
8,무스터백 백팩 아즈테카 레드 ,"53,000",-,엘루스벤
9,울프베이스 크로스백 자전거 가방 레저 취미 스포츠 ,"17,100",-,매트릭스클럽
10,무스터백 클래식 2종(백팩+크로스백) 블로썸핑크 ,"128,000",-,엘루스벤
11,유아 비행기 가방 백팩 ,"16,800",-,해외직구공구
12,캠핑가방 멀티백 크로스백 백팩 힙색가방 멀티파우치 ,"6,900",-,디앤에스상사
13,캐리어 여행용 24인치 가방/미트롤리 프리미엄 2세대 ,"99,000",6%,정보없음
14,캐리어 여행용 28인치 가방/미트롤리 프리미엄 2세대 ,"119,000",6%,정보없음
15,캐리어 20인치 여행용 기내용 여행 가방 하드 케리어 ,"89,000",5%,정보없음
16,COPI정품_남성 Nylon 핸드클러치백 서류가방M C-180708 ,"66,900",-,정보없음
17,메신저백 크로스백 힙색 슬링백 미니 여행 보조 가방 ,"16,550",6%,정보없음
18,백팩 맥북 삼성 LG그램 HP 태블릿 게이밍 노트북 가방 ,"23,800",4%,정보없음
19,FW추가세일 코트/덕다운/니트/팬츠/가방/점퍼~ ,"9,900",70%,드림즈컴
20,19년신상 신학기 나이키 토트백 백팩 가방 운동화 ,"19,800",70%,sandamall
21,프리마클라쎄  BEST 77종 특가 ,"23,200",69%,primamulti
22,설날특가 사은품증정 캐리어 여행용캐리어 여행가방 ,"29,800",69%,브라이튼몰
23,영국아울렛 프라다구찌생로랑 가방 지갑 빠른 직배송 ,"790,000",69%,영국명품셀렉샵
24,천연소가죽 슬링백/크로스백/핸드폰가방 득템기회 ,"13,900",69%,블루캣츠TM
25,사피아노 갤러리아백(미듐) PRADA 1BA274 NZV F0002 ,"1,643,310",7%,롯데닷컴
26,(대구신세계) 프라다  19SS 여성 두블레 미디움 토트숄더백 (1BA212_2ERX_F0LJ4_V_OOO_19S) ,"1,861,500",15%,신세계백화점
27,헨즈 통돌이 오븐+4종(요리책/타이머/집게/전용가방) ,"148,000",-,공식수입판매빅에이스
28,뉴코티드2 Plus 백팩 노트북 가방 ,"69,700",30%,슈피겐
29,닥스키즈/헤지스키즈 신학기 책가방 모음 +10%추가 ,"69,000",70%,pastelworld
30,바이모스 맥시멈 익스트림 4탄 4COLOR신학기가방 백팩 ,"79,000",-,rorotree
31,뉴 화애락큐 정관장 1박스(120정)+종이가방증정 ,"97,900",-,알리바바M
32,/균일가/최고급퀄리티/품질보장/백팩/학생가방/책가방 ,"19,800",-,유니크클럽
33,/추가금없음/모두19800원/여성백팩/책가방/학생가방/ ,"19,800",-,유니크클럽
34,19SS 1BA212 2ERX F0LJ4 블랙 레드 두블레 미디엄 토트백 ,"1,824,000",4%,롯데닷컴
35,미스터보울러 여행용 캐리어/여행가방/19900원부터 ,"29,900",69%,미스터보울러
36,슐란젠 2019 프레피 초등학생 책가방 보조가방 SET ,"91,760",38%,롯데닷컴
37,아디다스 외 신학기 운동화/가방/모자 모음 ,"17,900",69%,올레쇼핑_2
38,신상디자인/여성가방/숄더백/미니백/크로스백/핸드백/ ,"17,800",-,유니크클럽
39,/브랜드정품/백팩/책가방/학생가방/남성여성학생백팩/ ,"19,800",-,유니크클럽
40,설맞이 에다스 여행용 캐리어 20/24 인기상품 할인 ,"32,800",10%,에다스
41,신학기가방 균일가 신상품백팩 여행 학생백팩 책가방 ,"17,900",69%,케이프리
42,데상트   19SS 신상 남녀공용 도스 세이프티 백팩 (S9126HBP10) ,"160,550",5%,신세계몰
43,/정품/나염가방/기저귀가방/여성백팩/크로스백/숄더백 ,"19,800",-,유니크클럽
44,뉴몬트2 백팩 BLACK DQ109001 ,"119,200",20%,롯데백화점
45,/고급서류가방/크로스백/남성가방/남자가방/메신저백/ ,"17,800",-,유니크클럽
46,여성 패브릭 버킷백 숄더 겸 크로스백 1BH038-QXO-F0002-T/L 2종택 1 ,"1,081,520",12%,롯데닷컴
47,국산명품퀄리티/여성가방/숄더백핸드백쇼퍼백크로스백 ,"17,800",-,유니크클럽
48,새해맞이 캠브리지 캐리어/여행가방 17종+사은품 ,"26,900",69%,트래블메이트
49,크로스백/서류가방/메신저백/학생가방/책가방남성가방 ,"17,800",-,유니크클럽
50,신학기 백팩/학생가방/크로스백/중학생 책가방/배낭 ,"16,800",-,인터플레이스
51,언더아머 허슬 3.0 백팩 블랙1294720-001 UA Backpack ,"61,500",-,코암인터내셔널
52,아디다스/나이키外 신학기 가방 모음(백팩/책가방) ,"29,500",50%,비블루
53,캐리어 여행용 24인치 가방/미트롤리 프리미엄 2세대 ,"99,000",6%,정보없음
54,비박 멀티 트래블 백팩 여행가방 여행용 캐리어형배낭 ,"39,500",7%,(주)비박
55,캐리어 여행용 28인치 가방/미트롤리 프리미엄 2세대 ,"119,000",6%,정보없음
56,오후5시 이전 결제시 당일출고 남자백팩 남자가방 ,"59,000",-,로예스
57,레드향 천혜향 3kg/5kg 명절선물세트(가방포장) ,"24,900",-,제주플러스농원
58,여행용캐리어 여행가방 24인치 캐리어 확장기능 투어링 ,"90,000",-,모노이숍
59,천연가죽 서류가방/노트북가방/남성서류가방/남자가방 ,"29,900",-,YJCOMMERCE
60,브라이튼 이민가방 특가전 여행용캐리어 국내생산 ,"19,900",69%,브라이튼몰
61,_  메트로시티 숄더겸토트백 M63MF403Z _ ,"364,340",21%,신세계몰
62,(신세계본점) 공식수입원  알파브라보 레더 런던 롤탑 백팩 1032881041 (932388DL) ,"936,000",10%,신세계백화점
63,노메이커특가 여성가방 미니백/클러치백/크로스백 ,"15,900",-,직공닷컴
64,(트라텍) 캐리어 신년특가 여행용캐리어 여행가방 ,"29,900",63%,tratag
65,남자가방 여행용 노트북 백팩 책가방 학생가방 중학생 ,"29,900",%,휠코
66,여행용캐리어 케리어 기내용 20인치24인치28인치 가방 ,"49,000",-,페더스
67,미국직수입 토리버치 미니토트/크로스백 5종 모음 ,"309,000",-,슈슈퀸즈
68,프라다 /발렌티노 신상 가방 지갑 모음할인전 ,"1,406,000",69%,LABELLUSSO
69,인기 여행가방 캐리어 외 여행용품 특별할인 사은증정 ,"24,900",69%,씨앤티스토리
70,시크릿 화장가방 자연유래성분/어린이화장품 ,"46,500",41%,총알완구
71,접이식욕조/반신욕조/족욕기/이동식욕조/가방증정 ,"109,000",-,지아이엘
72,(판매1위) 맥클라이드 골프백 (MC211)캐디백/골프가방 ,"145,000",-,macgolf
73,헤지스/질스튜어트 지갑/가방/장갑/머플러+15%쿠폰 ,"43,000",69%,LF-공식스토어
74,지오다노 여행용 캐리어 24종 택1+무료배송 ,"47,900",-,ELLE_fashion_acc
75,겨울신상무료배송 미니백 숄더백 유행백 크로스백 ,"17,900",69%,케이프리
76,오리발+가방+핀서포트 마레스 아반티엑셀SET-WHT ,"93,060",6%,롯데닷컴
77,아동 초등학생 책가방 신학기  세트 신학기 학생 ,"36,400",-,핼로키즈
78,아동 신학기 책가방 신주머니 세트  BK카모세트  ,"56,880",28%,롯데백화점
79,15.6인치 노트북 서류가방 남자 크로스백 남성 백팩 ,"19,900",-,벨라(BELLA)
80,매틴 카메라가방 클레버250 DSLR백팩/15.4이하 노트북 ,"99,200",-,픽스몰
81,패트리샤 비세토스 레더 블록 크로스바디 장지갑 MYL9SPA34IZ ,"432,250",5%,롯데닷컴
82,소가죽 핸드헬드 겸 크로스백 APZA704 ,"660,740",10%,롯데백화점
83,LG그램 13/14/15/17인치 삼성펜S 노트북파우치 가방 ,"28,000",20%,인트존
84,천연 가죽 여성 백팩/소가죽 여자 여행 방수 가방 ,"25,900",-,벨라(BELLA)
85,3일특가 쿠잉 캐리어/여행가방/여행용/케리어/기내용 ,"36,890",7%,씨엔마켓
86,2019신제품 초등학생책가방 책가방세트 신학기책가방 ,"47,310",5%,아이백몰
87,쌤소나이트 프리미어 2 비즈니스 백팩 남자백팩 ,"59,990",-,더리빙샵
88,시크릿 백팩 회사원 해외출장 남자 백팩 USB충전 가방 ,"20,900",-,루루백
